"class";"aa_000";"ab_000";"ac_000";"ad_000";"ae_000";"af_000";"ag_000";"ag_001";"ag_002";"ag_003";"ag_004";"ag_005";"ag_006";"ag_007";"ag_008";"ag_009";"ah_000";"ai_000";"aj_000";"ak_000";"al_000";"am_0";"an_000";"ao_000";"ap_000";"aq_000";"ar_000";"as_000";"at_000";"au_000";"av_000";"ax_000";"ay_000";"ay_001";"ay_002";"ay_003";"ay_004";"ay_005";"ay_006";"ay_007";"ay_008";"ay_009";"az_000";"az_001";"az_002";"az_003";"az_004";"az_005";"az_006";"az_007";"az_008";"az_009";"ba_000";"ba_001";"ba_002";"ba_003";"ba_004";"ba_005";"ba_006";"ba_007";"ba_008";"ba_009";"bb_000";"bc_000";"bd_000";"be_000";"bf_000";"bg_000";"bh_000";"bi_000";"bj_000";"bk_000";"bl_000";"bm_000";"bn_000";"bo_000";"bp_000";"bq_000";"br_000";"bs_000";"bt_000";"bu_000";"bv_000";"bx_000";"by_000";"bz_000";"ca_000";"cb_000";"cc_000";"cd_000";"ce_000";"cf_000";"cg_000";"ch_000";"ci_000";"cj_000";"ck_000";"cl_000";"cm_000";"cn_000";"cn_001";"cn_002";"cn_003";"cn_004";"cn_005";"cn_006";"cn_007";"cn_008";"cn_009";"co_000";"cp_000";"cq_000";"cr_000";"cs_000";"cs_001";"cs_002";"cs_003";"cs_004";"cs_005";"cs_006";"cs_007";"cs_008";"cs_009";"ct_000";"cu_000";"cv_000";"cx_000";"cy_000";"cz_000";"da_000";"db_000";"dc_000";"dd_000";"de_000";"df_000";"dg_000";"dh_000";"di_000";"dj_000";"dk_000";"dl_000";"dm_000";"dn_000";"do_000";"dp_000";"dq_000";"dr_000";"ds_000";"dt_000";"du_000";"dv_000";"dx_000";"dy_000";"dz_000";"ea_000";"eb_000";"ec_00";"ed_000";"ee_000";"ee_001";"ee_002";"ee_003";"ee_004";"ee_005";"ee_006";"ee_007";"ee_008";"ee_009";"ef_000";"eg_000"
"neg";12;NA;20;18;0;0;0;0;0;0;64;4978;2848;0;0;0;3434;0;0;0;0;0;7370;4246;39754;1152;0;0;0;0;14;36;0;0;0;0;0;0;0;6514;1376;0;1130;8;20;12;26;6694;0;0;0;0;6696;298;82;128;22;32;176;360;96;0;47134;0;12;2;0;3434;222;36986;2752;NA;NA;NA;NA;NA;NA;NA;NA;39600;11.57;47134;47134;48018;29;0;4574;47000;7890;1209600;304;0;4;0;2000.64;94.08;4695.36;NA;NA;0;0;0;4638;2350;902;0;0;0;0;8;12;47134;NA;1122;8;14;462;398;5762;124;0;0;0;30;78;1360;64;0;4;0;0;2386;54;30;0;0;150;166;0;0;0;0;204;0;2;3228;754;52;16;1380;138;28394;12;0;0;0;NA;NA;6172;1450;208;18;24;8;4;6;0;0;0;0
"neg";1112;0;0;20;0;0;0;0;0;866;55806;17644;6812;0;0;0;32450;0;0;0;2286;4714;80454;70342;30918;5724;0;0;0;0;0;0;0;0;0;0;0;0;0;46886;34242;0;146;20;18;770;332;65624;10974;3244;0;0;40034;21004;10972;4298;2052;1036;528;762;134;308;113720;0;0;0;0;32450;786;20092;10412;NA;NA;NA;NA;NA;NA;NA;NA;30280;1112.4;113720;113720;116688;457;0;10972;112940;81242;1209600;0;2;12;0;53593.92;10179.84;16310.4;0;40;0;36;17422;23634;37890;1490;648;8;0;0;10;0;113720;0;1188;16;326;6838;14686;55846;2228;0;0;0;22;50;55478;27980;0;0;0;0;55696;0;0;0;0;0;0;0;0;0;0;772;0;0;0;0;0;0;0;0;0;0;0;0;0;165.16;104;28050;6944;2700;918;2680;3386;6236;30214;0;0;0;0
"neg";17672;NA;744;694;0;0;0;0;0;0;65054;663680;1176090;304524;3266;0;982952;0;0;0;3962;5960;2109268;1948656;222212;131800;0;0;0;0;576;142;0;0;0;0;0;0;283678;1928936;0;0;1504;604;928;87780;1512210;600332;9256;0;0;0;1069402;577600;187880;139776;80728;53394;73336;30308;190;0;2335806;48;78;1266;2;982952;21394;113114;108132;133640;NA;NA;NA;NA;NA;NA;NA;85020;17671.1;2335806;2335806;2346678;9181;482;110694;1122040;2212614;1209600;78780;0;136;0;1525335.36;22262.4;663600;0;0;0;0;11798;125756;396690;888276;716750;70558;2702;84;4;12;2335806;NA;2756;362;114158;485146;91952;493718;952220;71522;780;0;998;450;1516606;184764;0;5952;0;28;1570220;3524;170;0;0;680;22638;0;0;0;0;9942;3710;1296;0;0;62718;12350;318280;34544;51630;10006;0;0;0;816.86;840;713474;703696;239328;257100;207996;62548;18554;6124;3794;0;0;0
"neg";40738;NA;278;252;0;0;0;0;0;0;16290;366182;1577874;624568;63220;2234;1312180;0;0;0;0;0;2373044;2145212;398960;196328;0;0;0;0;760;142;0;0;0;0;0;24840;845550;1196628;583350;0;1618;1032;932;1182;4334;2610850;30420;0;0;0;825960;665832;189516;154578;141976;142676;216238;313180;412;0;2772168;392;198;158;2;1312180;33818;229678;168392;145840;206440;NA;NA;NA;NA;NA;NA;43780;40737.48;2772168;2772168;2775600;18714;6008;31396;349880;2650368;1209600;83648;0;70;0;2328468.48;0;320619.84;2;440;0;0;630;75044;704048;1459688;394474;13844;2506;134;26;30;2772168;NA;2350;232;106044;196968;130366;1924426;284334;5586;62;0;382;576;2286532;69716;0;2;0;0;2352520;1062;164;0;0;0;0;0;0;0;0;15932;35204;6328;0;0;76018;13978;253480;28260;0;0;0;0;737500;498.96;606;333184;507820;363976;181648;375922;278414;231408;155724;201424;20848;0;0
"neg";14;NA;6;NA;0;0;0;0;0;0;340;4356;1000;0;0;0;1950;0;54;0;0;0;5604;4216;5946;172;0;0;0;0;16;30;0;0;0;0;0;0;0;1632;4064;0;1110;4;32;16;114;4420;0;0;0;0;4298;660;118;178;30;36;252;124;0;0;11564;0;0;0;0;1950;144;4758;1182;NA;NA;NA;NA;NA;NA;NA;NA;5840;13.29;11564;11564;17930;19;378;1076;11360;5696;1209600;0;NA;NA;NA;2358.72;13.44;2376.96;0;10;0;0;254;3660;1044;468;270;0;0;0;NA;0;11564;NA;1016;20;90;50;40;1854;1522;1010;94;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;32;58;0;0;0;12;0;0;0;0;116;0;0;0;0;94;22;5420;742;0;0;0;0;0;300.08;44;3456;1966;104;12;40;28;42;48;0;0;0;0
"neg";11572;0;62;NA;0;0;0;0;0;0;272346;1208300;280120;20940;0;0;794230;0;0;0;3794;5686;1752498;1658112;159158;71502;0;0;0;0;0;0;0;0;0;0;0;0;0;105566;1676140;0;5922;1008;850;764;2044;1086250;684860;8;0;0;1052330;308284;137208;111202;56756;34530;23454;20076;10938;26928;1915990;40;76;392;410;794230;16618;66900;91606;113740;NA;NA;NA;NA;NA;NA;NA;41240;11572.39;1915990;1915990;1903256;5995;171822;68724;701140;1783066;1209600;0;NA;NA;NA;845237.76;650043.84;282062.4;10;152;0;0;12866;180186;798630;507812;136328;69732;50498;25654;NA;0;1915990;0;6148;472;177768;171584;102876;673338;620524;27938;1056;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;1720;284;0;0;15120;655834;0;0;0;0;8624;2316;270;0;0;48872;9340;1358520;507524;0;0;0;0;0;1055.52;1080;951334;273390;246058;90772;85754;28014;27874;78510;0;0;0;0
"neg";1778;NA;0;NA;0;0;0;0;0;0;258;11328;108474;6738;0;0;55592;0;0;0;0;0;147438;137256;28844;2804;0;0;0;0;0;0;0;0;0;0;0;6058;82222;6212;32306;0;2308;192;242;276;5540;118186;54;0;0;0;67684;42698;11458;3724;534;240;438;22;0;0;176316;0;18;180;4;55592;756;22140;6610;NA;NA;NA;NA;NA;NA;NA;NA;28300;1778;176316;176316;179976;441;988;13630;175640;126798;1209600;0;NA;NA;NA;108616.32;0;10159.68;0;0;0;0;0;2648;71408;50300;2074;340;28;0;NA;6;176316;NA;2250;42;2940;3242;3982;103468;9564;1308;2;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;140;28;0;0;0;0;0;0;0;0;656;112;44;0;0;1518;266;200580;20884;0;0;0;0;738300;148.72;148;12952;16490;12836;79488;4166;540;182;108;36;0;0;0
"neg";9878;NA;18;18;0;0;0;0;0;0;98;64268;534064;197816;7152;0;305836;0;0;0;0;0;721568;596694;227238;95676;0;0;0;0;88;58;0;0;0;0;0;65264;286478;417670;33986;0;1184;1200;1880;4882;553884;240340;28;0;0;0;348602;199406;74882;51782;39544;49876;39306;0;0;0;949080;0;110;62;2;305836;9668;140460;86400;NA;NA;NA;NA;NA;NA;NA;NA;224980;9878.94;949080;949080;944590;3871;808;92652;946120;803398;1209600;21874;2;70;0;620357.76;0;182299.2;0;0;0;0;0;1354;289106;375364;124298;11042;2102;132;2;8;949080;NA;1758;232;38468;105658;53224;424374;176220;3428;36;0;20;296;625630;24262;81874;30;0;14;634136;918;112;0;0;0;0;0;0;0;0;6494;8610;4950;0;0;19232;3376;1332800;134046;0;0;0;0;8878960;523.96;522;191526;163626;81902;41354;111016;128656;79050;6112;156;0;0;0
"neg";1560;NA;82;72;0;0;0;0;0;0;206;48962;58332;4228;0;0;48708;0;134;0;0;0;105552;93134;34218;5546;0;0;0;0;304;82;0;0;0;0;0;0;54104;56356;1268;0;1556;88;68;526;3106;106372;12;0;0;0;57006;39352;9390;3160;1520;692;456;152;0;0;139810;106;30;154;0;48708;1294;22412;11718;NA;NA;NA;NA;NA;NA;NA;NA;33640;1560.87;139810;139810;138416;332;130;13446;139240;111728;1209600;3008;0;18;0;85346.88;0;24934.08;0;30;0;0;0;30470;58210;21128;1624;282;14;0;2;6;139810;NA;1660;38;1820;12494;5670;37988;48930;3084;44;0;146;254;84464;28824;0;42;0;0;87112;182;132;0;0;0;0;0;0;0;0;780;350;92;0;0;3028;524;1640;296;0;0;0;0;0;155.62;140;28062;16864;7178;3886;8230;18412;8770;14898;5412;16;0;0
"neg";180;NA;2130706436;132;0;0;0;0;0;0;112;20048;6414;0;0;0;9738;0;42;0;0;0;35466;30868;5814;1816;0;0;0;0;54;74;0;0;0;0;0;0;26574;0;0;0;100;12;34;16;534;25870;8;0;0;0;19872;5540;966;126;52;14;2;2;0;0;41306;0;2;16;0;9738;450;1730;4052;NA;NA;NA;NA;NA;NA;NA;NA;5500;179.61;41306;41306;42560;53;0;3916;40980;26574;1209600;1496;2;4;0;15503.04;0;10983.36;0;16;0;0;0;11980;13558;920;84;32;0;0;0;6;41306;NA;176;14;1294;644;1128;10240;11250;1800;28;0;166;98;16194;2534;0;8;0;10;16250;80;34;0;0;0;0;0;0;0;0;306;0;16;0;0;556;202;83240;8298;0;0;0;0;0;63.98;68;11714;7014;2430;1194;3832;380;10;0;0;0;0;0
